"wid","agegroup","gender","hand","thirdgrade_usa","thirdgrade_usa_region","s1_dae","s1_time","s2_dae","s2_time","s3_dae","s3_time","db_version"
"0705","41-60","Female","Right","TRUE","Midwest","0","Late morning (9:30am-12:00pm)","21","Late morning (9:30am-12:00pm)","53","Late afternoon (2:30pm-5pm)","version5"
"0010","18-24","female","right","TRUE","midwest","0","earlyafternoon","21","earlyafternoon","58","latemorning","version5"
"0415","61+","Female","Right","TRUE","NA","0","Early morning (earlier than 9:30am)","40","Early morning (earlier than 9:30am)","73","Early afternoon (12:00pm-2:30pm)","version5"
"0314","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Early Afternoon","84","Late Evening","version5"
"0561","25-40","Female","Right","TRUE","Midwest","0","Late afternoon (2:30pm-5pm)","28","Early morning (earlier than 9:30am)","57","Early afternoon (12:00pm-2:30pm)","version5"
"0521","18-24","Female","Right","TRUE","Midwest","0","Late Afternoon","22","Late Morning","44","Early Evening","version5"
"0356","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","21","Early Evening","42","Early Morning","version5"
"0492","25-40","Female","Right","FALSE","NA","0","Late Afternoon","25","Early Afternoon","46","Early Evening","version5"
"0425","25-40","Male","Right","FALSE","NA","0","Late Evening","32","Late Morning","61","Late Evening","version5"
"0555","18-24","Female","Right","TRUE","Midwest","0","Early evening (5pm-7:30pm)","49","Early evening (5pm-7:30pm)","94","Early afternoon (12:00pm-2:30pm)","version5"
"0476","25-40","Female","Right","TRUE","South","0","Early Afternoon","20","Late morning (9:30am-12:00pm)","138","Late Morning","version5"
"0254","18-24","Female","Right","TRUE","Midwest","0","Early Afternoon","35","Early Afternoon","84","Late Evening","version5"
"0528","18-24","Male","Right","TRUE","Midwest","0","Early Evening","59","Late Afternoon","95","Late Afternoon","version5"
"0339","25-40","Female","Right","TRUE","South","0","Late Morning","28","Late Afternoon","61","Early Afternoon","version5"
"0305","41-60","Female","Right","TRUE","Midwest","0","Early Evening","48","Late Afternoon","86","Late Afternoon","version5"
